"","Sample","ARO","Pathogen","Reads","MAPQ","Drug","Mechanism","AMR_Family","Gene_Length","FPKM"
"2925","LKMG003-284.allele_mapping_data.txt","hmrM","Haemophilus influenzae",11,18.82,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,31.8253554111032
"2926","LKMG003-284.allele_mapping_data.txt","farB","Neisseria meningitidis",3,14.67,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,7.92933931032129
"2927","LKMG003-284.allele_mapping_data.txt","tetB(60)","uncultured bacterium",3,17.33,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,6.95867880854058
"2928","LKMG003-284.allele_mapping_data.txt","tetA(46)","Streptococcus australis",13,19.62,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,30.4164859225484
"2929","LKMG003-284.allele_mapping_data.txt","tetB(46)","Streptococcus australis",11,18.36,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,25.5592232576217
"2930","LKMG003-284.allele_mapping_data.txt","tetA(60)","uncultured bacterium",7,17.64,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,16.236917219928
"2931","LKMG003-284.allele_mapping_data.txt","MuxB","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,1.28864422380381
"2932","LKMG003-284.allele_mapping_data.txt","rpoB2","Nocardia farcinica",18,12.59,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,20.8221859447302
"2933","LKMG003-284.allele_mapping_data.txt","LpsA","Haemophilus influenzae",1,20.5,"peptide antibiotic","reduced permeability to antibiotic","Intrinsic peptide antibiotic resistant Lps",771,5.23480377296179
"2934","LKMG003-284.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",3,13,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,3.6426297012216
"2935","LKMG003-284.allele_mapping_data.txt","vanR gene in vanO cluster","Rhodococcus hoagii",1,11,"glycopeptide antibiotic","antibiotic target alteration","glycopeptide resistance gene cluster; vanR",702,5.74933576774008
"2936","LKMG003-284.allele_mapping_data.txt","mef(E)","Streptococcus pneumoniae",3,14.33,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1212,9.99018244790479
"2937","LKMG003-285.allele_mapping_data.txt","srmB","Streptomyces ambofaciens",1,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1653,2.44164168720722
"2938","LKMG003-285.allele_mapping_data.txt","mtrE","Neisseria gonorrhoeae",7,18.43,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,20.1226751870903
"2939","LKMG003-285.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",19,14.03,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,39.6303051525154
"2940","LKMG003-285.allele_mapping_data.txt","carA","Streptomyces thermotolerans",1,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1656,2.43721842328112
"2941","LKMG003-285.allele_mapping_data.txt","ErmX","Plasmid pNG2",1,22,"macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",855,4.72050726193396
"2942","LKMG003-285.allele_mapping_data.txt","mel","Streptococcus pyogenes",69,19.53,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,228.642303709191
"2943","LKMG003-285.allele_mapping_data.txt","mtrC","Neisseria meningitidis",12,14.71,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1239,39.0899148566929
"2944","LKMG003-285.allele_mapping_data.txt","mtrA","Neisseria gonorrhoeae",1,12,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",906,4.45478334321582
"2945","LKMG003-285.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",12,15.62,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,41.0792235007994
"2946","LKMG003-285.allele_mapping_data.txt","lsaC","Streptococcus agalactiae",3,19.83,"lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic","antibiotic target protection","lsa-type ABC-F protein",1479,8.18668095122421
"2947","LKMG003-285.allele_mapping_data.txt","emrA","Escherichia coli",1,11,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1173,3.44077895051452
"2948","LKMG003-285.allele_mapping_data.txt","mtrD","Neisseria meningitidis",32,14.55,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,40.3099496524698
"2949","LKMG003-285.allele_mapping_data.txt","patA","Streptococcus pneumoniae",131,20,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,311.929448892574
"2950","LKMG003-285.allele_mapping_data.txt","patB","Streptococcus pneumoniae",156,20.91,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,356.322161062112
"2951","LKMG003-285.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",57,20.39,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,191.711601175293
"2952","LKMG003-285.allele_mapping_data.txt","tet(35)","Vibrio harveyi",1,11,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1110,3.63606640446265
"2953","LKMG003-285.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",42,18.5,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,199.662444965899
"2954","LKMG003-285.allele_mapping_data.txt","hmrM","Haemophilus influenzae",1,20.5,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,2.89321412828211
"2955","LKMG003-285.allele_mapping_data.txt","farA","Neisseria meningitidis",3,16.5,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1155,10.4832044388404
"2956","LKMG003-285.allele_mapping_data.txt","farB","Neisseria meningitidis",18,18.94,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,47.5760358619277
"2957","LKMG003-285.allele_mapping_data.txt","tetB(60)","uncultured bacterium",6,14,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,13.9173576170812
"2958","LKMG003-285.allele_mapping_data.txt","tetA(46)","Streptococcus australis",9,20.61,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,21.0575671771489
"2959","LKMG003-285.allele_mapping_data.txt","tetB(46)","Streptococcus australis",8,21.19,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,18.5885260055431
"2960","LKMG003-285.allele_mapping_data.txt","tetA(60)","uncultured bacterium",3,20,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,6.95867880854058
"2961","LKMG003-285.allele_mapping_data.txt","AxyY","Achromobacter insuavis",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3138,1.28618027691317
"2962","LKMG003-285.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",5,11.3,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,5.66699481740176
"2963","LKMG003-286.allele_mapping_data.txt","srmB","Streptomyces ambofaciens",1,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1653,2.44164168720722
"2964","LKMG003-286.allele_mapping_data.txt","mtrE","Neisseria gonorrhoeae",1,11,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,2.87466788387004
"2965","LKMG003-286.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",8,13.62,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,16.6864442747433
"2966","LKMG003-286.allele_mapping_data.txt","mecR1","Staphylococcus aureus",1,22,"penam","antibiotic target replacement","methicillin resistant PBP2",1758,2.29580984582112
"2967","LKMG003-286.allele_mapping_data.txt","PC1 beta-lactamase (blaZ)","Staphylococcus aureus",1,21,"penam","antibiotic inactivation","BlaZ beta-lactamase",846,4.77072542429496
"2968","LKMG003-286.allele_mapping_data.txt","tetB(P)","Clostridium perfringens",1,11,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1959,2.06025202090533
"2969","LKMG003-286.allele_mapping_data.txt","sul2","Vibrio cholerae",9,21.78,"sulfonamide antibiotic","antibiotic target replacement","sulfonamide resistant sul",816,44.5150776722817
"2970","LKMG003-286.allele_mapping_data.txt","APH(6)-Id","Pseudomonas aeruginosa",5,15.3,"aminoglycoside antibiotic","antibiotic inactivation","APH(6)",837,24.1101177356842
"2971","LKMG003-286.allele_mapping_data.txt","mel","Streptococcus pyogenes",49,20.74,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,162.36917219928
"2972","LKMG003-286.allele_mapping_data.txt","tet(Q)","Bacteroides fragilis",2,21.25,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1974,4.08919322082425
"2973","LKMG003-286.allele_mapping_data.txt","tet(32)","Escherichia coli",1,22,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,2.10210089007997
"2974","LKMG003-286.allele_mapping_data.txt","APH(3')-IIIa","Campylobacter coli",1,22,"aminoglycoside antibiotic","antibiotic inactivation","APH(3')",795,5.07677196094785
"2975","LKMG003-286.allele_mapping_data.txt","mtrC","Neisseria meningitidis",1,12,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1239,3.2574929047244
"2976","LKMG003-286.allele_mapping_data.txt","oleB","Streptomyces antibioticus",1,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1710,2.36025363096698
"2977","LKMG003-286.allele_mapping_data.txt","smeR","Stenotrophomonas maltophilia",2,11,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",690,11.6986484317494
"2978","LKMG003-286.allele_mapping_data.txt","SAT-4","Campylobacter coli",2,12.5,"nucleoside antibiotic","antibiotic inactivation","streptothricin acetyltransferase (SAT)",543,14.8656858524992
"2979","LKMG003-286.allele_mapping_data.txt","lmrD","Lactococcus lactis",13,18.69,"lincosamide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1995,26.2999690307749
"2980","LKMG003-286.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",1,12,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,3.42326862506661
"2981","LKMG003-286.allele_mapping_data.txt","lsaC","Streptococcus agalactiae",1,21,"lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic","antibiotic target protection","lsa-type ABC-F protein",1479,2.72889365040807
"2982","LKMG003-286.allele_mapping_data.txt","tet(M)","Erysipelothrix rhusiopathiae",4,20.25,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,8.40840356031987
"2983","LKMG003-286.allele_mapping_data.txt","APH(3'')-Ib","Pseudomonas aeruginosa",6,21.33,"aminoglycoside antibiotic","antibiotic inactivation","APH(3'')",804,30.1196545444294
"2984","LKMG003-286.allele_mapping_data.txt","mtrD","Neisseria meningitidis",15,13.33,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,18.8952888995952
"2985","LKMG003-286.allele_mapping_data.txt","tet(38)","Staphylococcus aureus",1,22,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1353,2.98302565332856
"2986","LKMG003-286.allele_mapping_data.txt","tet(A)","Shigella sonnei",1,22,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1275,3.16551663447336
"2987","LKMG003-286.allele_mapping_data.txt","patA","Streptococcus pneumoniae",90,21.07,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,214.302674811692
"2988","LKMG003-286.allele_mapping_data.txt","patB","Streptococcus pneumoniae",97,20.66,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,221.559292455288
"2989","LKMG003-286.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",45,18.67,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,151.351264085758
"2990","LKMG003-286.allele_mapping_data.txt","tet(35)","Vibrio harveyi",1,11,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1110,3.63606640446265
"2991","LKMG003-286.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",51,17.97,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,242.447254601449
"2992","LKMG003-286.allele_mapping_data.txt","msbA","Escherichia coli",1,11,"nitroimidazole antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1749,2.30762361861266
"2993","LKMG003-286.allele_mapping_data.txt","hmrM","Haemophilus influenzae",1,21,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,2.89321412828211
"2994","LKMG003-286.allele_mapping_data.txt","farB","Neisseria meningitidis",1,12,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,2.64311310344043
"2995","LKMG003-286.allele_mapping_data.txt","tetB(60)","uncultured bacterium",2,13,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,4.63911920569372
"2996","LKMG003-286.allele_mapping_data.txt","tetA(46)","Streptococcus australis",7,19.93,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,16.3781078044491
"2997","LKMG003-286.allele_mapping_data.txt","tetB(46)","Streptococcus australis",5,18.2,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,11.6178287534644
"2998","LKMG003-286.allele_mapping_data.txt","AxyY","Achromobacter insuavis",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3138,1.28618027691317
"2999","LKMG003-286.allele_mapping_data.txt","rpoB2","Nocardia farcinica",6,10.5,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,6.9407286482434
"3000","LKMG003-286.allele_mapping_data.txt","Acinetobacter baumannii AmvA","Acinetobacter baumannii",1,11,"macrolide antibiotic; disinfecting agents and antiseptics","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1479,2.72889365040807
"3001","LKMG003-286.allele_mapping_data.txt","norC","Staphylococcus aureus",1,22,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1389,2.90571181350147
"3002","LKMG003-286.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",5,11,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,6.07104950203601
"3003","LKMG003-286.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",9,13.38,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,10.2005906713232
"3004","LKMG003-286.allele_mapping_data.txt","mef(E)","Streptococcus pneumoniae",1,12,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1212,3.33006081596826
"3005","LKMG003-287.allele_mapping_data.txt","adeF","Acinetobacter baumannii",1,11,"fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3180,1.26919299023696
"3006","LKMG003-287.allele_mapping_data.txt","mtrE","Neisseria gonorrhoeae",11,17.36,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,31.6213467225704
"3007","LKMG003-287.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",19,14.39,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,39.6303051525154
"3008","LKMG003-287.allele_mapping_data.txt","ErmF","Bacteroides fragilis",2,11,"macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic","antibiotic target alteration","Erm 23S ribosomal RNA methyltransferase",801,10.0774874131174
"3009","LKMG003-287.allele_mapping_data.txt","OprJ","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1440,2.80280118677329
"3010","LKMG003-287.allele_mapping_data.txt","mel","Streptococcus pyogenes",40,18.79,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,132.546263019821
"3011","LKMG003-287.allele_mapping_data.txt","mtrC","Neisseria meningitidis",5,16.78,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1239,16.287464523622
"3012","LKMG003-287.allele_mapping_data.txt","oleB","Streptomyces antibioticus",2,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1710,4.72050726193396
"3013","LKMG003-287.allele_mapping_data.txt","mtrA","Neisseria gonorrhoeae",2,17.5,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",906,8.90956668643165
"3014","LKMG003-287.allele_mapping_data.txt","MexD","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,1.28864422380381
"3015","LKMG003-287.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",12,19.32,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,41.0792235007994
"3016","LKMG003-287.allele_mapping_data.txt","lsaC","Streptococcus agalactiae",8,17.81,"lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic","antibiotic target protection","lsa-type ABC-F protein",1479,21.8311492032646
"3017","LKMG003-287.allele_mapping_data.txt","tet(M)","Erysipelothrix rhusiopathiae",4,18.38,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,8.40840356031987
"3018","LKMG003-287.allele_mapping_data.txt","vgaB","Staphylococcus aureus",1,11,"streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic","antibiotic target protection","vga-type ABC-F protein",1659,2.43281115669291
"3019","LKMG003-287.allele_mapping_data.txt","mtrD","Neisseria meningitidis",28,16.07,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,35.2712059459111
"3020","LKMG003-287.allele_mapping_data.txt","tet(A)","Shigella sonnei",3,19.33,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1275,9.49654990342009
"3021","LKMG003-287.allele_mapping_data.txt","patA","Streptococcus pneumoniae",76,20.05,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,180.966703174318
"3022","LKMG003-287.allele_mapping_data.txt","patB","Streptococcus pneumoniae",67,19.86,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,153.035799943343
"3023","LKMG003-287.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",36,19.6,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,121.081011268606
"3024","LKMG003-287.allele_mapping_data.txt","MexK","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3078,1.31125201720388
"3025","LKMG003-287.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",26,17.98,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,123.600561169366
"3026","LKMG003-287.allele_mapping_data.txt","hmrM","Haemophilus influenzae",1,18,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,2.89321412828211
"3027","LKMG003-287.allele_mapping_data.txt","farA","Neisseria meningitidis",1,20.5,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1155,3.49440147961345
"3028","LKMG003-287.allele_mapping_data.txt","farB","Neisseria meningitidis",9,13.22,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,23.7880179309639
"3029","LKMG003-287.allele_mapping_data.txt","tetB(60)","uncultured bacterium",1,20.5,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,2.31955960284686
"3030","LKMG003-287.allele_mapping_data.txt","tetA(46)","Streptococcus australis",1,20.5,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,2.33972968634988
"3031","LKMG003-287.allele_mapping_data.txt","tetB(46)","Streptococcus australis",2,19.25,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,4.64713150138577
"3032","LKMG003-287.allele_mapping_data.txt","MexF","Pseudomonas aeruginosa",1,11,"fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3189,1.26561107210835
"3033","LKMG003-287.allele_mapping_data.txt","MuxB","Pseudomonas aeruginosa",2,11,"macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,2.57728844760762
"3034","LKMG003-287.allele_mapping_data.txt","rpoB2","Nocardia farcinica",3,11.33,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,3.4703643241217
"3035","LKMG003-287.allele_mapping_data.txt","LpsA","Haemophilus influenzae",3,19.67,"peptide antibiotic","reduced permeability to antibiotic","Intrinsic peptide antibiotic resistant Lps",771,15.7044113188854
"3036","LKMG003-287.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",3,11,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,3.6426297012216
"3037","LKMG003-287.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",4,10.75,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,4.53359585392141
"3038","LKMG003-287.allele_mapping_data.txt","tet(O/M/O)","Campylobacter coli",1,22,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,2.10210089007997
"3039","LKMG003-288.allele_mapping_data.txt","srmB","Streptomyces ambofaciens",2,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1653,4.88328337441444
"3040","LKMG003-288.allele_mapping_data.txt","mtrE","Neisseria gonorrhoeae",2,11,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,5.74933576774008
"3041","LKMG003-288.allele_mapping_data.txt","tet(B)","Gram-negative bacterium",3,22,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1206,10.0398848481431
"3042","LKMG003-288.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",23,14.43,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,47.973527289887
"3043","LKMG003-288.allele_mapping_data.txt","smeF","Stenotrophomonas maltophilia",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1401,2.88082348961709
"3044","LKMG003-288.allele_mapping_data.txt","MexC","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1164,3.46738291147211
"3045","LKMG003-288.allele_mapping_data.txt","carA","Streptomyces thermotolerans",3,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1656,7.31165526984336
"3046","LKMG003-288.allele_mapping_data.txt","mel","Streptococcus pyogenes",59,19.6,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,195.505737954235
"3047","LKMG003-288.allele_mapping_data.txt","mtrC","Neisseria meningitidis",18,14.59,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1239,58.6348722850393
"3048","LKMG003-288.allele_mapping_data.txt","oleB","Streptomyces antibioticus",2,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1710,4.72050726193396
